County	All Total	All Added	All Deleted	Democrats Total	Democrats Added	Democrats Deleted	Democrats Changed Out	Democrats Changed In	Republicans Total	Republicans Added	Republicans Deleted	Republicans Changed Out	Republicans Changed In	No Party Total	No Party Added	No Party Deleted	No Party Changed Out	No Party Changed In	Third Party Total	Third Party Added	Third Party Deleted	Third Party Changed Out	Third Party Changed In	D to R Total	R to D Total	American Indians or Alaskan Natives Total	American Indians or Alaskan Natives Added	American Indians or Alaskan Natives Deleted	Asians Or Pacific Islanders Total	Asians Or Pacific Islanders Added	Asians Or Pacific Islanders Deleted	Blacks Total	Blacks Added	Blacks Deleted	Hispanics Total	Hispanics Added	Hispanics Deleted	Whites Total	Whites Added	Whites Deleted	Other Races Total	Other Races Added	Other Races Deleted	Men Total	Men Added	Men Deleted	Women Total	Women Added	Women Deleted	Black Women Total	Black Women Added	Black Women Deleted	Black Democrats Total	Black Democrats Added	Black Democrats Deleted	Black Republicans Total	Black Republicans Added	Black Republicans Deleted	Hispanic Democrats Total	Hispanic Democrats Added	Hispanic Democrats Deleted	Hispanic Republicans Total	Hispanic Republicans Added	Hispanic Republicans Deleted	Under 30 Total	Under 30 Added	Under 30 Deleted	30 to 39 Total	30 to 39 Added	30 to 39 Deleted	40 to 49 Total	40 to 49 Added	40 to 49 Deleted	50 to 59 Total	50 to 59 Added	50 to 59 Deleted	60 to 69 Total	60 to 69 Added	60 to 69 Deleted	70 and over Total	70 and over Added	70 and over Deleted	Under 30 Republicans Total	Under 30 Republicans Added	Under 30 Republicans Deleted	Under 30 Democrats Total	Under 30 Democrats Added	Under 30 Democrats Deleted
Madison	12275	101	60	7810	37	37	56	14	3146	49	18	8	74	1072	14	4	30	5	247	1	1	1	2	52	5	35	1	1	32	1	0	4257	27	23	140	1	0	7425	68	33	386	3	3	5423	55	31	6591	40	28	2489	9	11	3941	23	21	93	2	0	56	0	0	38	0	0	2043	46	18	1806	16	13	1843	15	6	2157	16	6	2236	5	6	2157	3	11	495	25	5	1175	17	11
Manatee	239278	2214	974	75037	674	334	371	515	102041	893	413	151	1068	55776	607	204	1110	141	6424	40	23	105	13	298	88	724	11	2	3235	34	19	15895	182	73	13532	227	45	199790	1642	805	6102	118	30	107901	968	441	128135	1122	519	9397	102	46	12778	147	58	673	5	0	5640	102	26	2829	47	7	30378	739	174	28782	306	135	32468	275	115	42940	366	124	47621	321	123	56236	202	302	9674	238	55	9472	271	71
Monroe	60506	689	341	19458	205	98	155	303	22249	260	142	67	509	17094	207	93	589	57	1705	17	8	65	7	130	42	259	3	1	492	7	2	2123	22	16	5864	119	47	50334	504	269	1434	34	6	31040	379	180	28753	282	153	1039	8	5	1501	15	10	104	0	1	1943	61	14	2081	29	21	7208	182	55	7916	125	46	8934	115	30	12803	126	75	13042	95	63	10103	43	70	1768	55	23	2100	61	15
Marion	244556	2123	1032	85193	680	381	717	496	105441	913	457	164	1471	43774	507	154	1036	159	10148	23	40	224	15	618	112	916	9	1	2386	28	10	24416	206	84	17935	267	76	193459	1512	840	5444	101	21	110460	926	502	132444	1080	526	14399	108	49	20457	149	70	1096	10	4	8727	142	39	4244	67	23	34119	735	190	27289	265	86	29665	239	94	38955	307	119	46772	353	145	67092	223	396	11676	269	83	11984	258	71
Martin	115707	878	626	29707	226	181	198	181	56913	398	327	62	521	23256	215	95	437	65	5831	39	23	85	15	160	30	288	3	1	859	12	3	4122	31	31	4944	79	30	103387	725	550	2107	28	11	53793	423	281	60931	434	337	2357	16	20	3050	15	25	390	8	5	1818	30	13	1390	22	9	15413	301	126	11477	127	76	13840	97	72	21539	145	81	22259	118	79	30549	88	189	5529	121	51	3983	87	47
Nassau	61301	517	257	14778	98	57	201	94	33841	276	154	36	456	10599	133	36	308	24	2083	10	10	41	12	187	21	213	3	1	396	7	2	3346	26	10	964	15	9	54815	446	222	1567	20	13	28894	252	116	31489	233	134	1858	10	6	2764	19	8	159	3	0	265	6	2	377	7	6	10120	198	62	8621	97	49	9369	87	34	11337	72	39	11564	43	34	9929	19	38	5209	111	36	1759	31	13
Okaloosa	150406	1415	636	30478	304	142	284	319	85124	752	346	111	959	31916	324	136	910	84	2888	35	12	79	22	237	68	799	11	4	3763	30	12	12264	115	52	5315	89	29	123527	1079	523	4738	91	16	71980	670	303	76644	674	329	6302	45	30	8401	74	34	1162	12	3	1449	28	8	2031	43	14	29271	586	158	28423	316	126	23268	159	87	27370	184	93	21425	118	67	20040	52	103	13825	283	72	5346	143	39
Okeechobee	20693	198	119	8453	62	44	70	41	8049	79	50	16	115	3511	49	20	73	10	680	8	5	11	4	64	10	90	2	0	135	2	1	1029	12	6	1949	35	7	16926	140	102	564	7	3	9290	90	53	10972	91	65	606	7	2	866	10	5	45	0	0	879	17	3	414	7	2	3413	83	22	2684	25	17	2849	28	9	3585	24	16	3588	22	23	4285	16	32	1078	25	12	972	27	4
Orange	807770	9385	4167	340180	4247	1867	927	2317	222504	2163	1213	473	1753	226629	2803	1001	3117	554	18457	172	86	219	112	548	284	2397	23	12	27194	299	79	142702	1629	699	186721	2937	1008	395913	3766	2117	52843	731	252	363290	4047	1820	415984	4689	2207	80821	912	406	111566	1202	554	5118	53	22	86927	1481	496	27869	372	174	183175	4689	1421	157635	1698	853	141872	1126	547	138478	967	495	101092	541	367	81588	348	473	36140	953	358	76153	2230	660
Osceola	204752	2769	1017	86442	1338	441	453	1506	49585	490	279	214	1037	64311	915	279	1986	182	4414	26	18	94	22	314	165	611	8	4	3916	54	11	17647	243	99	91178	1540	449	81395	753	402	10005	171	52	93881	1209	494	106085	1409	502	9495	124	56	13138	169	70	732	5	7	44179	831	227	11442	158	70	42677	1093	282	35193	519	196	37181	400	144	36160	342	155	28520	248	108	23946	161	125	7157	142	58	16717	534	129
